employee_id,username,email,password,phone_number,shift_id,group_id
test_dmc11,aa,a@gmail.com,123,283839303,16,2
test_dmc21,ba,b@gmail.com,124,283839304,16,2
test_dmc31,ca,c@gmail.com,125,283839305,16,2
test_dmc41,da,d@gmail.com,126,283839306,16,2
test_dmc51,ea,e@gmail.com,127,283839307,16,2
test_dmc61,fa,f@gmail.com,128,283839308,16,2
test_dmc71,ga,g@gmail.com,129,283839309,16,2
test_dmc81,ha,h@gmail.com,130,283839310,16,2
test_dmc82,ia,i@gmail.com,131,283839311,16,2
test_dmc91,ja,j@gmail.com,132,283839312,16,2
